project_id,month,direct_cost,fte_count,business_value
P-0001,1,9746.376557727268,1.0,0.0
P-0001,2,12174.671081032153,3.0,0.0
P-0001,3,10947.691000689752,2.0,0.0
P-0001,4,10769.353450449264,2.0,0.0
P-0001,5,5157.647365121784,0.0,321024.5963260418
P-0001,6,7171.63398937438,0.0,459196.33299410366
P-0001,7,5714.610276387538,0.0,566646.0038453556
P-0001,8,5424.915172777221,0.0,682474.5384437972
P-0002,1,21472.266470619827,3.0,0.0
P-0002,2,20015.722137138284,3.0,0.0
P-0002,3,20543.556431657238,3.0,0.0
P-0002,4,21358.795996099696,3.0,0.0
P-0002,5,16382.941742038767,3.0,0.0
P-0002,6,3155.1451078303658,0.0,74642.84910109866
P-0002,7,3064.3323866467686,0.0,108012.7294513299
P-0002,8,2962.791117990998,0.0,104101.30204057881
P-0002,9,3181.9782724663387,0.0,136586.29056872174
P-0002,10,4248.63103458698,0.0,162484.14057630862
P-0003,1,179087.18730166575,2.0,0.0
P-0003,2,20893.067081386176,1.0,3898952.600399481
P-0004,1,24955.861646238736,3.0,0.0
P-0004,2,20666.84304455088,3.0,0.0
P-0004,3,23500.586746929675,3.0,0.0
P-0004,4,19171.045785915954,3.0,0.0
P-0004,5,21057.60131264258,3.0,0.0
P-0004,6,19128.545636309602,3.0,0.0
P-0004,7,20711.484527485816,3.0,0.0
P-0004,8,23766.899824200435,2.0,0.0
P-0004,9,17114.735470380492,2.0,0.0
P-0004,10,22715.341821011945,2.0,0.0
P-0004,11,22205.766099415927,2.0,0.0
P-0004,12,20050.532456829296,3.0,0.0
P-0004,13,3018.439948631667,1.0,352279.05077117274
P-0004,14,4133.553696469008,1.0,692892.2269755322
P-0005,1,23775.01701016253,3.0,0.0
P-0005,2,25217.470668881862,4.0,0.0
P-0005,3,28403.121684843856,3.0,0.0
P-0005,4,30924.829114618668,4.0,0.0
P-0005,5,24052.435382328247,3.0,0.0
P-0005,6,20192.198666748198,4.0,0.0
P-0005,7,5501.648455346232,3.0,86228.62189939077
P-0005,8,9358.10755054536,2.0,134470.84211786237
P-0005,9,7621.4770940997005,3.0,196801.0271016814
P-0006,1,83390.48762403206,4.0,0.0
P-0006,2,95346.03857576786,3.0,0.0
P-0006,3,85560.39996307294,2.0,0.0
P-0006,4,77191.29323123871,2.0,0.0
P-0006,5,76622.95966834776,3.0,0.0
P-0006,6,92375.94647034699,4.0,0.0
P-0006,7,11838.742172836497,1.0,547947.0711130622
P-0006,8,9483.985836344187,1.0,867769.5996008313
P-0006,9,9021.646479613666,1.0,1318898.9506717038
P-0006,10,9692.786993480817,1.0,1532322.5848451406
P-0006,11,11385.59621622674,1.0,1664973.633655122
P-0006,12,9582.53499042248,1.0,1942620.7005462423
P-0006,13,8536.642375808146,1.0,2849402.8310104874
P-0007,1,121791.83029224101,3.0,0.0
P-0007,2,115730.44486434275,3.0,0.0
P-0007,3,126157.30313934441,3.0,0.0
P-0007,4,106695.01536668184,4.0,0.0
P-0007,5,99631.82437305764,3.0,0.0
P-0007,6,105790.28495809693,3.0,0.0
P-0007,7,111874.01980159173,2.0,0.0
P-0007,8,8199.085855660214,2.0,406539.2678611285
P-0007,9,6395.439917828682,2.0,628015.4375468815
P-0007,10,8075.954180196257,2.0,705310.0396344293
P-0007,11,8272.971763334675,2.0,876812.095479709
P-0007,12,11547.448381220976,2.0,912252.3190041477
P-0007,13,10631.108964173447,2.0,1261072.922996142
P-0007,14,6726.063224897109,1.0,1330359.9886697598
P-0007,15,7535.454413018164,2.0,1561122.8862497727
P-0007,16,5853.251184921797,2.0,1679686.2786066462
P-0007,17,7101.588269128899,2.0,1967686.8228455149
P-0008,1,94364.9047904126,5.0,0.0
P-0008,2,94036.01844432914,6.0,0.0
P-0008,3,99847.67899808502,4.0,0.0
P-0008,4,90667.86125133559,5.0,0.0
P-0008,5,18712.53391795512,1.0,177509.1650314947
P-0008,6,20392.746365650328,1.0,334522.76530121116
P-0008,7,17731.098427774206,1.0,546007.1604663609
P-0008,8,18340.64211658697,1.0,704505.7395795938
P-0008,9,17413.56475456951,0.0,1036161.4530834772
P-0009,1,196454.79248730993,1.0,0.0
P-0009,2,188380.9316036596,3.0,0.0
P-0009,3,13804.839919804082,0.0,171129.66339653157
P-0009,4,13428.859894753166,0.0,204526.87266003367
P-0009,5,14453.170148537132,0.0,143219.8437991681
P-0009,6,17792.749268348976,0.0,94167.27265119416
P-0010,1,76154.3007670616,5.0,0.0
P-0010,2,4985.028422149865,1.0,452751.48791236174
P-0010,3,5308.514194560682,2.0,1207420.1356238718
P-0010,4,4373.338004612518,1.0,1592450.745199955
P-0010,5,4675.303590724387,1.0,2547581.0494554285
P-0011,1,88553.52588301212,3.0,0.0
P-0011,2,102073.03280207631,4.0,0.0
P-0011,3,77224.55875507512,3.0,0.0
P-0011,4,112195.91145703252,3.0,0.0
P-0011,5,99527.56957678191,2.0,0.0
P-0011,6,104997.40456851012,3.0,0.0
P-0011,7,88784.10779223808,2.0,0.0
P-0011,8,104622.01492561246,3.0,0.0
P-0011,9,7472.774905407538,2.0,120775.14159910941
P-0011,10,6530.115356965777,2.0,195944.06328066604
P-0011,11,6531.833357763523,2.0,295174.16401067557
P-0011,12,6572.3810579864,1.0,310249.2623619005
P-0011,13,5293.431129077899,2.0,369808.07294228737
P-0011,14,6100.966502868295,2.0,469295.70724602323
P-0011,15,6095.332779928642,2.0,563448.8811856888
P-0011,16,6699.917050797269,3.0,594313.0782322007
P-0011,17,7395.331700546052,1.0,729886.7895950739
P-0012,1,20517.311764370847,5.0,0.0
P-0012,2,28571.512368746844,3.0,0.0
P-0012,3,26779.323525349908,3.0,0.0
P-0012,4,1742.706006446417,0.0,36202.40281279635
P-0012,5,1812.9850721954754,0.0,44770.06219018987
P-0012,6,1649.6610141169651,0.0,54797.71906893196
